1b3g          0.30420
1b3u          1.32612
1b1u          1.41971
1b1g          1.85761
2b1g          2.15046
1ag           2.36984
2b3u          2.53826
1b2g          2.63103
2b1u          2.92415
1b2u          2.97632
3b1g          3.02347
3b3u          3.16012
2ag           3.23500
2b3g          3.33484
1au           3.35556
4b3u          3.38865
3ag           3.40901
3b1u          3.42145
3b3g          3.42906
4b1g          3.46858
2au           3.61580
2b2g          3.64187
2b2u          3.82298
5b3u          3.89176
4b1u          3.89911
5b1u          3.98187
4ag           4.11598
3b2u          4.19923
5b1g          4.24792
3b2g          4.25165
5ag           4.34239
3au           4.35021
4b3g          4.37651
4au           4.44985
5b3g          4.56969
5au           4.61232
4b2u          4.62954
4b2g          4.75604
5b2u          4.76131
5b2g          4.87592
